ticker,data_reuniao,selic_anterior,selic_nova,direcao,data_t_menos1,preco_t_menos1,data_t_mais1,preco_t_mais1,impacto_pct
ITUB4.SA,2020-02-05,,4.25,primeira_reuniao,2020-02-04,20.043310165405273,2020-02-06,20.11583709716797,0.3619
ITUB4.SA,2020-03-18,4.25,3.75,corte,2020-03-17,15.704060554504395,2020-03-19,14.23959732055664,-9.3254
ITUB4.SA,2020-05-06,3.75,3.0,corte,2020-05-05,14.16464614868164,2020-05-07,13.378411293029785,-5.5507
ITUB4.SA,2020-06-17,3.0,2.25,corte,2020-06-16,16.346790313720703,2020-06-18,17.20221519470215,5.233
ITUB4.SA,2020-08-05,2.25,2.0,corte,2020-08-04,16.059253692626953,2020-08-06,16.27179718017578,1.3235
ITUB4.SA,2020-09-16,2.0,2.0,manutencao,2020-09-15,14.876075744628906,2020-09-17,14.851000785827637,-0.1686
ITUB4.SA,2020-10-28,2.0,2.0,manutencao,2020-10-27,15.61367416381836,2020-10-29,14.992643356323242,-3.9775
ITUB4.SA,2020-12-09,2.0,2.0,manutencao,2020-12-08,19.067232131958008,2020-12-10,19.814592361450195,3.9196
ITUB4.SA,2021-01-20,2.0,2.0,manutencao,2021-01-19,19.410945892333984,2021-01-21,18.831710815429688,-2.9841
ITUB4.SA,2021-03-17,2.0,2.75,alta,2021-03-16,17.10652732849121,2021-03-18,17.874860763549805,4.4915
ITUB4.SA,2021-05-05,2.75,3.5,alta,2021-05-04,17.04552459716797,2021-05-06,17.422048568725586,2.2089
ITUB4.SA,2021-06-16,3.5,4.25,alta,2021-06-15,20.8751277923584,2021-06-17,21.041404724121094,0.7965
ITUB4.SA,2021-08-04,4.25,5.25,alta,2021-08-03,19.698814392089844,2021-08-05,19.20585823059082,-2.5025
ITUB4.SA,2021-09-22,5.25,6.25,alta,2021-09-21,17.4293270111084,2021-09-23,18.451171875,5.8628
ITUB4.SA,2021-10-27,6.25,7.75,alta,2021-10-26,15.265000343322754,2021-10-28,15.348590850830078,0.5476
ITUB4.SA,2021-12-08,7.75,9.25,alta,2021-12-07,14.963984489440918,2021-12-09,14.423036575317383,-3.615
ITUB4.SA,2022-02-02,9.25,10.75,alta,2022-02-01,16.638486862182617,2022-02-03,16.56668472290039,-0.4315
ITUB4.SA,2022-03-16,10.75,11.75,alta,2022-03-15,16.404056549072266,2022-03-17,17.090280532836914,4.1833
ITUB4.SA,2022-05-04,11.75,12.75,alta,2022-05-03,15.621770858764648,2022-05-05,15.2421875,-2.4298
ITUB4.SA,2022-06-15,12.75,13.25,alta,2022-06-14,15.488239288330078,2022-06-17,15.357258796691895,-0.8457
ITUB4.SA,2022-08-03,13.25,13.75,alta,2022-08-02,15.55781364440918,2022-08-04,16.049732208251953,3.1619
ITUB4.SA,2022-09-21,13.75,13.75,manutencao,2022-09-20,18.984785079956055,2022-09-22,19.16402244567871,0.9441
ITUB4.SA,2022-10-26,13.75,13.75,manutencao,2022-10-25,19.53475570678711,2022-10-27,19.46833610534668,-0.34
ITUB4.SA,2022-12-07,13.75,13.75,manutencao,2022-12-06,17.391294479370117,2022-12-08,16.659725189208984,-4.2065
ITUB4.SA,2023-02-01,13.75,13.75,manutencao,2023-01-31,17.191505432128906,2023-02-02,17.121980667114258,-0.4044
ITUB4.SA,2023-03-22,13.75,13.75,manutencao,2023-03-21,16.229951858520508,2023-03-23,15.73381519317627,-3.0569
ITUB4.SA,2023-05-03,13.75,13.75,manutencao,2023-05-02,17.14080238342285,2023-05-04,17.250944137573242,0.6426
ITUB4.SA,2023-06-21,13.75,13.75,manutencao,2023-06-20,19.994606018066406,2023-06-22,19.994606018066406,0.0
ITUB4.SA,2023-08-02,13.75,13.25,corte,2023-08-01,19.98456382751465,2023-08-03,19.768781661987305,-1.0797
ITUB4.SA,2023-09-20,13.25,12.75,corte,2023-09-19,19.10482406616211,2023-09-21,18.98525619506836,-0.6259
ITUB4.SA,2023-11-01,12.75,12.25,corte,2023-10-31,18.877912521362305,2023-11-03,19.672155380249023,4.2073
ITUB4.SA,2023-12-13,12.25,11.75,corte,2023-12-12,22.47399139404297,2023-12-14,23.347665786743164,3.8875
ITUB4.SA,2024-01-31,11.75,11.25,corte,2024-01-30,23.047107696533203,2024-02-01,23.244394302368164,0.856
ITUB4.SA,2024-03-20,11.25,10.75,corte,2024-03-19,25.516986846923828,2024-03-21,25.303909301757812,-0.835
ITUB4.SA,2024-05-08,10.75,10.5,corte,2024-05-07,24.49538803100586,2024-05-09,23.91023063659668,-2.3888
ITUB4.SA,2024-06-19,10.5,10.5,manutencao,2024-06-18,23.62738800048828,2024-06-20,23.649621963500977,0.0941
ITUB4.SA,2024-07-31,10.5,10.5,manutencao,2024-07-30,25.681276321411133,2024-08-01,24.954330444335938,-2.8306
ITUB4.SA,2024-09-18,10.5,10.75,alta,2024-09-17,27.614849090576172,2024-09-19,27.3829288482666,-0.8398
ITUB4.SA,2024-11-06,10.75,11.25,alta,2024-11-05,27.419921875,2024-11-07,26.89174461364746,-1.9263
ITUB4.SA,2024-12-11,11.25,12.25,alta,2024-12-10,25.143333435058594,2024-12-12,24.754636764526367,-1.5459
ITUB4.SA,2025-01-29,12.25,13.25,alta,2025-01-28,25.394187927246094,2025-01-30,25.95087242126465,2.1922
ITUB4.SA,2025-03-19,13.25,14.25,alta,2025-03-18,28.4161376953125,2025-03-20,28.222593307495117,-0.6811
ITUB4.SA,2025-05-07,14.25,14.75,alta,2025-05-06,30.5246524810791,2025-05-08,31.105911254882812,1.9042
ITUB4.SA,2025-06-18,14.75,15.0,alta,2025-06-17,32.94738006591797,2025-06-20,32.58278274536133,-1.1066
ITUB4.SA,2025-07-30,15.0,15.0,manutencao,2025-07-29,30.84565544128418,2025-07-31,31.28160858154297,1.4133
ITUB4.SA,2025-09-17,15.0,15.0,manutencao,2025-09-16,34.07975387573242,2025-09-18,34.610286712646484,1.5567
ITUB4.SA,2025-11-05,15.0,15.0,manutencao,2025-11-04,35.964447021484375,2025-11-06,36.11745834350586,0.4255
ITUB4.SA,2025-12-10,15.0,15.0,manutencao,2025-12-09,37.24924850463867,2025-12-11,37.513851165771484,0.7104
BBDC4.SA,2020-02-05,,4.25,primeira_reuniao,2020-02-04,16.717124938964844,2020-02-06,16.843387603759766,0.7553
BBDC4.SA,2020-03-18,4.25,3.75,corte,2020-03-17,11.859057426452637,2020-03-19,10.507059097290039,-11.4006
BBDC4.SA,2020-05-06,3.75,3.0,corte,2020-05-05,10.213447570800781,2020-05-07,9.57162094116211,-6.2841
BBDC4.SA,2020-06-17,3.0,2.25,corte,2020-06-16,12.307001113891602,2020-06-18,12.457836151123047,1.2256
BBDC4.SA,2020-08-05,2.25,2.0,corte,2020-08-04,12.1550931930542,2020-08-06,12.295004844665527,1.1511
BBDC4.SA,2020-09-16,2.0,2.0,manutencao,2020-09-15,11.471444129943848,2020-09-17,11.52186107635498,0.4395
BBDC4.SA,2020-10-28,2.0,2.0,manutencao,2020-10-27,12.480623245239258,2020-10-29,11.656425476074219,-6.6038
BBDC4.SA,2020-12-09,2.0,2.0,manutencao,2020-12-08,14.410675048828125,2020-12-10,15.04529094696045,4.4038
BBDC4.SA,2021-01-20,2.0,2.0,manutencao,2021-01-19,15.060354232788086,2021-01-21,14.535530090332031,-3.4848
BBDC4.SA,2021-03-17,2.0,2.75,alta,2021-03-16,14.268396377563477,2021-03-18,15.13765811920166,6.0922
BBDC4.SA,2021-05-05,2.75,3.5,alta,2021-05-04,14.99441146850586,2021-05-06,15.095216751098633,0.6723
BBDC4.SA,2021-06-16,3.5,4.25,alta,2021-06-15,17.61503791809082,2021-06-17,17.627641677856445,0.0716
BBDC4.SA,2021-08-04,4.25,5.25,alta,2021-08-03,15.810213088989258,2021-08-05,14.959086418151855,-5.3834
BBDC4.SA,2021-09-22,5.25,6.25,alta,2021-09-21,12.615972518920898,2021-09-23,13.370993614196777,5.9846
BBDC4.SA,2021-10-27,6.25,7.75,alta,2021-10-26,13.105157852172852,2021-10-28,13.234333038330078,0.9857
BBDC4.SA,2021-12-08,7.75,9.25,alta,2021-12-07,13.556897163391113,2021-12-09,13.129802703857422,-3.1504
BBDC4.SA,2022-02-02,9.25,10.75,alta,2022-02-01,15.0039701461792,2022-02-03,14.950797080993652,-0.3544
BBDC4.SA,2022-03-16,10.75,11.75,alta,2022-03-15,13.664037704467773,2022-03-17,13.91367244720459,1.8269
BBDC4.SA,2022-05-04,11.75,12.75,alta,2022-05-03,13.082792282104492,2022-05-05,12.836633682250977,-1.8815
BBDC4.SA,2022-06-15,12.75,13.25,alta,2022-06-14,13.508210182189941,2022-06-17,13.392255783081055,-0.8584
BBDC4.SA,2022-08-03,13.25,13.75,alta,2022-08-02,12.967689514160156,2022-08-04,13.415359497070312,3.4522
BBDC4.SA,2022-09-21,13.75,13.75,manutencao,2022-09-20,14.809747695922852,2022-09-22,15.059518814086914,1.6865
BBDC4.SA,2022-10-26,13.75,13.75,manutencao,2022-10-25,14.506845474243164,2022-10-27,14.131856918334961,-2.5849
BBDC4.SA,2022-12-07,13.75,13.75,manutencao,2022-12-06,11.163662910461426,2022-12-08,10.721540451049805,-3.9604
BBDC4.SA,2023-02-01,13.75,13.75,manutencao,2023-01-31,10.761178970336914,2023-02-02,10.714564323425293,-0.4332
BBDC4.SA,2023-03-22,13.75,13.75,manutencao,2023-03-21,10.114452362060547,2023-03-23,9.675697326660156,-4.3379
BBDC4.SA,2023-05-03,13.75,13.75,manutencao,2023-05-02,10.522568702697754,2023-05-04,10.86143970489502,3.2204
BBDC4.SA,2023-06-21,13.75,13.75,manutencao,2023-06-20,13.363212585449219,2023-06-22,12.984498023986816,-2.834
BBDC4.SA,2023-08-02,13.75,13.25,corte,2023-08-01,13.015246391296387,2023-08-03,12.975242614746094,-0.3074
BBDC4.SA,2023-09-20,13.25,12.75,corte,2023-09-19,11.578689575195312,2023-09-21,11.194043159484863,-3.322
BBDC4.SA,2023-11-01,12.75,12.25,corte,2023-10-31,10.996893882751465,2023-11-03,11.625641822814941,5.7175
BBDC4.SA,2023-12-13,12.25,11.75,corte,2023-12-12,12.805453300476074,2023-12-14,13.593482971191406,6.1539
BBDC4.SA,2024-01-31,11.75,11.25,corte,2024-01-30,12.547380447387695,2024-02-01,12.588462829589844,0.3274
BBDC4.SA,2024-03-20,11.25,10.75,corte,2024-03-19,11.632804870605469,2024-03-21,11.649283409118652,0.1417
BBDC4.SA,2024-05-08,10.75,10.5,corte,2024-05-07,11.375307083129883,2024-05-09,11.11095905303955,-2.3239
BBDC4.SA,2024-06-19,10.5,10.5,manutencao,2024-06-18,10.564054489135742,2024-06-20,10.589653968811035,0.2423
BBDC4.SA,2024-07-31,10.5,10.5,manutencao,2024-07-30,10.597508430480957,2024-08-01,10.7598876953125,1.5322
BBDC4.SA,2024-09-18,10.5,10.75,alta,2024-09-17,13.137349128723145,2024-09-19,12.880260467529297,-1.9569
BBDC4.SA,2024-11-06,10.75,11.25,alta,2024-11-05,12.13215160369873,2024-11-07,11.89699649810791,-1.9383
