evento,ativo,peso,impacto
2022-03-16,BPAC11.SA,6.0312,6.0312
2022-03-16,MGLU3.SA,13.7577,13.7577
2022-03-16,CEAB3.SA,6.6524,6.6524
2022-03-16,AMER3.SA,5.9355,5.9355
2022-03-16,MRVE3.SA,2.2244,-2.2244
2022-03-16,CYRE3.SA,1.2397,1.2397
2022-03-16,EZTC3.SA,2.7161,2.7161
2022-03-16,CVCB3.SA,21.4073,21.4073
2025-05-07,BPAC11.SA,7.3073,7.3073
2025-05-07,MGLU3.SA,3.2037,3.2037
2025-05-07,CEAB3.SA,13.7072,13.7072
2025-05-07,AMER3.SA,3.5782,3.5782
2025-05-07,MRVE3.SA,5.852,5.852
2025-05-07,CYRE3.SA,4.4177,4.4177
2025-05-07,EZTC3.SA,4.9618,4.9618
2025-05-07,CVCB3.SA,7.2816,7.2816
2020-03-18,BPAC11.SA,5.5714,-5.5714
2020-03-18,MGLU3.SA,14.113,-14.113
2020-03-18,CEAB3.SA,20.5298,-20.5298
2020-03-18,AMER3.SA,9.3669,-9.3669
2020-03-18,MRVE3.SA,16.7185,-16.7185
2020-03-18,CYRE3.SA,12.7596,-12.7596
2020-03-18,EZTC3.SA,6.188,-6.188
2020-03-18,CVCB3.SA,25.1256,-25.1256
2022-08-03,BPAC11.SA,9.2568,9.2568
2022-08-03,MGLU3.SA,23.2472,23.2472
2022-08-03,CEAB3.SA,11.032,11.032
2022-08-03,AMER3.SA,9.593,9.593
2022-08-03,MRVE3.SA,21.8852,21.8852
2022-08-03,CYRE3.SA,19.059,19.059
2022-08-03,EZTC3.SA,12.6458,12.6458
2022-08-03,CVCB3.SA,17.0588,17.0588
2020-05-06,BPAC11.SA,9.6392,-9.6392
2020-05-06,MGLU3.SA,13.1275,13.1275
2020-05-06,CEAB3.SA,6.1556,-6.1556
2020-05-06,AMER3.SA,20.4916,20.4916
2020-05-06,MRVE3.SA,4.9113,-4.9113
2020-05-06,CYRE3.SA,10.1683,-10.1683
2020-05-06,EZTC3.SA,11.6897,-11.6897
2020-05-06,CVCB3.SA,12.0258,-12.0258
2023-11-01,BPAC11.SA,8.0068,8.0068
2023-11-01,MGLU3.SA,12.0301,12.0301
2023-11-01,CEAB3.SA,11.6279,11.6279
2023-11-01,AMER3.SA,0.0,0.0
2023-11-01,MRVE3.SA,12.1212,12.1212
2023-11-01,CYRE3.SA,9.3385,9.3385
2023-11-01,EZTC3.SA,8.5595,8.5595
2023-11-01,CVCB3.SA,18.1818,18.1818
